,fecha,periodo,valor
0,2027-01-01,1,2301.916381146311
1,2027-01-01,2,2221.794074694549
2,2027-01-01,3,2161.5492093220273
3,2027-01-01,4,2102.1193845782163
4,2027-01-01,5,2048.598159058859
5,2027-01-01,6,1996.985731653368
6,2027-01-01,7,1911.909829302458
7,2027-01-01,8,1874.019854051829
8,2027-01-01,9,1860.1088591440289
9,2027-01-01,10,1880.122808129345
10,2027-01-01,11,1913.4738578290758
11,2027-01-01,12,1965.173101810403
12,2027-01-01,13,2002.361833079485
13,2027-01-01,14,2117.9307903548497
14,2027-01-01,15,2201.374501803497
15,2027-01-01,16,2214.788917548188
16,2027-01-01,17,2234.503926612937
17,2027-01-01,18,2220.5609597977473
18,2027-01-01,19,2473.3424323115487
19,2027-01-01,20,2502.166360354485
20,2027-01-01,21,2550.444232781772
21,2027-01-01,22,2442.068020426971
22,2027-01-01,23,2457.638703625617
23,2027-01-01,24,2402.76109343101
24,2027-01-02,1,2289.048382216225
25,2027-01-02,2,2215.942987715337
26,2027-01-02,3,2153.445114172471
27,2027-01-02,4,2093.4099865075423
28,2027-01-02,5,2036.019399662832
29,2027-01-02,6,1982.5402383608398
30,2027-01-02,7,1896.139543815174
31,2027-01-02,8,1847.794265345144
32,2027-01-02,9,1822.92835517361
33,2027-01-02,10,1825.3914792194018
34,2027-01-02,11,1848.656215325169
35,2027-01-02,12,1888.4318992064768
36,2027-01-02,13,1912.670659655313
37,2027-01-02,14,1968.396226731108
38,2027-01-02,15,2037.008876595409
39,2027-01-02,16,2062.624972837458
40,2027-01-02,17,2112.834102372155
41,2027-01-02,18,2145.694877852411
42,2027-01-02,19,2411.979378673262
43,2027-01-02,20,2424.552607596
44,2027-01-02,21,2445.930354302106
45,2027-01-02,22,2323.725901423566
46,2027-01-02,23,2343.042939107965
47,2027-01-02,24,2326.23038800505
48,2027-01-03,1,2260.730520363048
49,2027-01-03,2,2185.927073040293
50,2027-01-03,3,2127.11007720328
51,2027-01-03,4,2068.449737421355
52,2027-01-03,5,2012.281752448823
53,2027-01-03,6,1945.807190157905
54,2027-01-03,7,1830.790619151604
55,2027-01-03,8,1716.600328764933
56,2027-01-03,9,1633.581935229648
57,2027-01-03,10,1612.758892968978
58,2027-01-03,11,1631.9462451779232
59,2027-01-03,12,1673.334505032588
60,2027-01-03,13,1720.959001910438
61,2027-01-03,14,1780.373453742202
62,2027-01-03,15,1848.249970854584
63,2027-01-03,16,1884.919449400801
64,2027-01-03,17,1956.741604738541
65,2027-01-03,18,2004.537698753818
66,2027-01-03,19,2304.743012690376
67,2027-01-03,20,2328.055125624952
68,2027-01-03,21,2383.798594244874
69,2027-01-03,22,2304.393673873097
70,2027-01-03,23,2327.017436546012
71,2027-01-03,24,2281.825295694516
72,2027-01-04,1,2223.361589356006
73,2027-01-04,2,2152.279800249887
74,2027-01-04,3,2096.5063336226813
75,2027-01-04,4,2042.3570489510262
76,2027-01-04,5,1994.079931828062
77,2027-01-04,6,1939.13363164899
78,2027-01-04,7,1862.99648156401
79,2027-01-04,8,1818.629802622944
80,2027-01-04,9,1796.142723022977
81,2027-01-04,10,1794.828371533028
