,valor,Variable,Index
12841,0.0,vGenPlt,TEBSA240.1#6241
12842,0.0,vGenPlt,BARRANQUILLA_3.1#6265
12843,0.0,vGenPlt,BARRANQUILLA_4.1#6289
12844,0.0,vGenPlt,CARTAGENA_1.1#6313
12845,0.0,vGenPlt,CARTAGENA_2.1#6337
12846,0.0,vGenPlt,CARTAGENA_3.1#6361
12847,0.0,vGenPlt,GECELCA_3.1#6385
12848,0.0,vGenPlt,GECELCA_32.1#6409
12849,0.0,vGenPlt,GUAJIRA_1.1#6433
12850,0.0,vGenPlt,GUAJIRA_2.1#6457
12851,0.0,vGenPlt,MERILECTRICA_1.1#6481
12852,0.0,vGenPlt,PAIPA_1.1#6505
12853,72.0,vGenPlt,PAIPA_2.1#6529
12854,70.0,vGenPlt,PAIPA_3.1#6553
12855,165.0,vGenPlt,PAIPA_4.1#6577
12856,0.0,vGenPlt,PROELECTRICA_1.1#6601
12857,0.0,vGenPlt,PROELECTRICA_2.1#6625
12858,0.0,vGenPlt,TASAJERO_1.1#6649
12859,0.0,vGenPlt,TASAJERO_2.1#6673
12860,0.0,vGenPlt,TERMOCARIBE_III_1.1#6697
12861,0.0,vGenPlt,TERMODORADA_1.1#6721
12862,0.0,vGenPlt,TERMOYOPAL_1.1#6745
12863,0.0,vGenPlt,TERMOYOPAL_2.1#6769
12864,50.0,vGenPlt,TERMOYOPAL_G3.1#6793
12865,0.0,vGenPlt,TERMOYOPAL_G4.1#6817
12866,50.0,vGenPlt,TERMOYOPAL_G5.1#6841
12867,0.0,vGenPlt,ZIPAEMG_2.1#6865
12868,0.0,vGenPlt,ZIPAEMG_3.1#6889
12869,0.0,vGenPlt,ZIPAEMG_4.1#6913
12870,0.0,vGenPlt,ZIPAEMG_5.1#6937
12871,0.0,vGenPlt,DC_TR_INT_Proy.1#6961
12872,0.0,vGenPlt,DC_TR_ATL_Proy.1#6985
12873,0.0,vGenPlt,DC_TR_BOL_Proy.1#7009
12874,0.0,vGenPlt,DC_TR_GCM_Proy.1#7033
12875,0.0,vGenPlt,DC_TR_CS_Proy.1#7057
12876,0.0,vGenPlt,DC_TR_CRR_Proy.1#7081
12877,0.0,vGenPlt,DC_TR_INT_Proy_1.1#7105
12878,0.0,vGenPlt,DC_TR_ATL_Proy_1.1#7129
12879,0.0,vGenPlt,DC_TR_BOL_Proy_1.1#7153
12880,0.0,vGenPlt,DC_TR_GCM_Proy_1.1#7177
12881,0.0,vGenPlt,DC_TR_CS_Proy_1.1#7201
12882,0.0,vGenPlt,DC_TR_CRR_Proy_1.1#7225
12883,0.0,vGenPlt,DC_TR_INT_Proy_2.1#7249
12884,0.0,vGenPlt,DC_TR_ATL_Proy_2.1#7273
12885,0.0,vGenPlt,DC_TR_BOL_Proy_2.1#7297
12886,0.0,vGenPlt,DC_TR_GCM_Proy_2.1#7321
