Planta,AGC,BLOQUESPINI1,CONFENTRADA,CONFPINI1,CONFSALIDA,DISPPINI1,ESTADOPINI1,GPPINI_1,GPPINI_2,NARRANQUESPINI1,PRUEBAS,TAPUBLICAR,TCEPENDIENTE,TDISPPINI1,TFL,TL,TULT,RecCops
BARRANQUILLA 3,0,0,0,1,0,60.0,  - ,0.0,0.0,0,0,10,0,3576,158,0,13040,BARRANQUILLA_3
BARRANQUILLA 4,0,0,0,1,0,60.0,  - ,0.0,0.0,0,0,10,0,1860,494,0,1884,BARRANQUILLA_4
CARTAGENA 1,0,0,0,3,0,30.0,  - ,0.0,0.0,0,0,10,0,96,8774,0,96,CARTAGENA_1
CARTAGENA 2,0,0,0,1,0,0.0,  - ,0.0,0.0,0,0,10,0,0,7921,0,7896,CARTAGENA_2
CARTAGENA 3,0,0,0,1,0,0.0,  - ,0.0,0.0,0,0,10,0,0,8774,0,16740,CARTAGENA_3
FLORES 4 CC,0,0,0,3,0,228.0,  - ,120.0,120.0,1,0,10,0,7559,0,6,6,FLORES_4_CC
FLORES I CC,0,0,0,0,0,160.0,  - ,0.0,0.0,0,0,10,0,3168,70,0,69,FLORES_I_CC
GECELCA 3,0,0,0,1,0,164.0,  - ,164.0,164.0,0,0,10,0,539,0,15,2828,GECELCA_3
GECELCA 32,0,0,0,1,0,270.0,  - ,270.0,270.0,0,0,10,0,912,0,199,12683,GECELCA_32
GUAJIRA 1,0,0,0,2,0,72.0,  - ,72.0,72.0,0,0,10,0,502,0,504,809,GUAJIRA_1
GUAJIRA 2,0,0,0,2,0,130.0,  - ,130.0,130.0,0,0,10,0,776,0,786,888,GUAJIRA_2
MERILECTRICA 1,0,0,0,1,0,164.0,  - ,0.0,0.0,0,0,10,0,1728,1776,0,16737,MERILECTRICA_1
PAIPA 1,0,0,0,1,0,23.0,  - ,23.0,23.0,0,0,10,0,54,0,52,56,PAIPA_1
PAIPA 2,0,0,0,1,0,72.0,  - ,72.0,72.0,0,0,10,0,199,0,126,204,PAIPA_2
PAIPA 3,0,0,0,1,0,70.0,  - ,70.0,70.0,0,0,10,0,672,0,126,15117,PAIPA_3
PAIPA 4,0,0,0,1,0,165.0,  - ,165.0,165.0,0,0,10,0,4426,0,71,10177,PAIPA_4
PROELECTRICA 1,0,0,0,1,0,45.0,  - ,0.0,0.0,0,0,10,0,516,334,0,700,PROELECTRICA_1
PROELECTRICA 2,0,0,0,1,0,45.0,  - ,0.0,0.0,0,0,10,0,392,99,0,6626,PROELECTRICA_2
TASAJERO 1,0,0,0,1,0,165.0,  - ,165.0,165.0,0,0,10,0,3679,0,59,8168,TASAJERO_1
TASAJERO 2,0,0,0,1,0,170.0,  - ,170.0,170.0,0,0,10,0,1734,0,57,1739,TASAJERO_2
TEBSAB CC,0,0,0,6,0,530.0,  - ,283.0,283.0,0,0,10,0,9825,0,390,3,TEBSAB_CC
TERMOCANDELARIA CC,0,0,0,4,0,555.0,  - ,349.2794,395.1924,1,0,10,0,3269,0,11,7,TERMOCANDELARIA_CC
TERMOCARIBE III,0,0,0,1,0,0.0,  - ,0.0,0.0,0,0,10,0,0,8662,0,192,TERMOCARIBE_III_1
TERMOCENTRO CC,0,0,0,0,0,238.0,  - ,0.0,0.0,0,0,10,0,2568,367,0,366,TERMOCENTRO_CC
TERMODORADA 1,0,0,0,3,0,47.0,  - ,0.0,0.0,0,0,10,0,4392,511,0,16740,TERMODORADA_1
TERMOEMCALI CC,0,0,0,0,0,213.0,  - ,0.0,0.0,0,0,10,0,7060,77,0,78,TERMOEMCALI_CC
TERMONORTE,0,0,0,7,0,71.0,  - ,53.0,53.0,0,0,10,0,1325,0,1320,408,TERMONORTE
TERMOSIERRA CC,0,0,0,0,0,352.0,  - ,0.0,0.0,0,0,10,0,5928,1015,0,1014,TERMOSIERRA_CC
TERMOVALLE CC,0,0,0,0,0,237.0,  - ,0.0,0.0,0,0,10,0,7960,2646,0,2646,TERMOVALLE_CC
TERMOYOPAL 1,0,0,0,1,0,8.0,  - ,0.0,0.0,0,0,10,0,509,119,0,5184,TERMOYOPAL_1
TERMOYOPAL 2,0,0,0,1,0,23.0,  - ,0.0,0.0,0,0,10,0,144,94,0,302,TERMOYOPAL_2
TERMOYOPAL G3,0,0,0,1,0,0.0,  - ,0.0,0.0,0,0,10,0,0,122,0,16740,TERMOYOPAL_G3
TERMOYOPAL G4,0,0,0,1,0,46.0,  - ,46.0,46.0,0,0,10,0,1694,0,101,16737,TERMOYOPAL_G4
TERMOYOPAL G5,0,0,0,1,0,0.0,  - ,0.0,0.0,0,0,10,0,0,8544,0,8604,TERMOYOPAL_G5
TESORITO,0,0,0,1,0,200.0,  - ,0.0,0.0,0,0,10,0,1056,52,0,1107,TESORITO
VILLANUEVA,0,0,0,1,0,25.0,  - ,25.0,25.0,0,0,10,0,1872,0,67,6120,VILLANUEVA
ZIPAEMG 2,0,0,0,1,0,34.0,  - ,0.0,0.0,0,0,10,0,2755,952,0,3923,ZIPAEMG_2
ZIPAEMG 3,0,0,0,1,0,63.0,  - ,0.0,0.0,0,0,10,0,1015,1126,0,11231,ZIPAEMG_3
ZIPAEMG 4,0,0,0,1,0,64.0,  - ,0.0,0.0,0,0,10,0,863,724,0,11496,ZIPAEMG_4
ZIPAEMG 5,0,0,0,1,0,63.0,  - ,0.0,0.0,0,0,10,0,2202,1316,0,5136,ZIPAEMG_5
