Unidad,COMBUSTIBLE,DISPPINI1,GP,NARRANQUESPINI1,PRUEBAS,TAPUBLICAR,TDISPPINI1,TFL,TL,UniCops
BARRANQUILLA 3,Gas,60.0,0.0,0,0,10,3576,158,0,BARRANQUILLA_3
BARRANQUILLA 4,Gas,60.0,0.0,0,0,10,1860,494,0,BARRANQUILLA_4
CARTAGENA 1,CombustÃ³leo,30.0,0.0,0,0,10,96,8774,0,CARTAGENA_1
CARTAGENA 2,CombustÃ³leo,0.0,0.0,0,0,10,0,7921,0,CARTAGENA_2
CARTAGENA 3,CombustÃ³leo,0.0,0.0,0,0,10,0,8774,0,CARTAGENA_3
FLORES 1 GAS,Gas,116.0,0.0,0,0,10,3168,70,0,FLORES_1_GAS
FLORES 1 VAPOR,Gas,44.0,0.0,0,0,10,3168,70,0,FLORES_1_VAPOR
FLORES 2,Gas,120.0,0.0,0,0,10,5670,2495,0,FLORES_2
FLORES 3,Gas,169.0,60.0,1,0,10,7528,0,6,FLORES_3
FLORES 4,Gas,156.0,60.0,1,0,10,7528,0,6,FLORES_4
GECELCA 3,CarbÃ³n,164.0,164.0,1,0,10,539,0,15,GECELCA_3
GECELCA 32,CarbÃ³n,270.0,270.0,0,0,10,912,0,199,GECELCA_32
GUAJIRA 1,Mezcla Gas - CarbÃ³n,72.0,72.0,0,0,10,502,0,504,GUAJIRA_1
GUAJIRA 2,Mezcla Gas - CarbÃ³n,130.0,130.0,0,0,10,786,0,786,GUAJIRA_2
MERILECTRICA 1,Gas,164.0,0.0,0,0,10,1728,1776,0,MERILECTRICA_1
PAIPA 1,CarbÃ³n,23.0,23.0,0,0,10,54,0,52,PAIPA_1
PAIPA 2,CarbÃ³n,72.0,72.0,0,0,10,199,0,126,PAIPA_2
PAIPA 3,CarbÃ³n,70.0,70.0,0,0,10,672,0,126,PAIPA_3
PAIPA 4,CarbÃ³n,165.0,165.0,0,0,10,4426,0,71,PAIPA_4
PROELECTRICA 1,Gas,45.0,0.0,0,0,10,516,334,0,PROELECTRICA_1
PROELECTRICA 2,Gas,45.0,0.0,0,0,10,392,99,0,PROELECTRICA_2
TASAJERO 1,CarbÃ³n,165.0,165.0,0,0,10,3679,0,59,TASAJERO_1
TASAJERO 2,CarbÃ³n,170.0,170.0,0,0,10,1734,0,57,TASAJERO_2
