RecCops,Conf,Valor
FLORES_4_CC,.c1,973.348
FLORES_4_CC,.c2,999.719
FLORES_4_CC,.c3,1035.695
FLORES_4_CC,.c4,1534.687
FLORES_I_CC,.c1,1120.045
TEBSAB_CC,.c1,1608.765
TEBSAB_CC,.c2,778.62
TEBSAB_CC,.c3,1790.528
TEBSAB_CC,.c4,794.882
TEBSAB_CC,.c5,1653.374
TEBSAB_CC,.c6,836.278
TEBSAB_CC,.c7,701.363
TEBSAB_CC,.c8,1539.617
TEBSAB_CC,.c9,848.815
TEBSAB_CC,.c10,710.136
TERMOCANDELARIA_CC,.c1,1158.73
TERMOCANDELARIA_CC,.c2,1055.839
TERMOCANDELARIA_CC,.c3,714.49
TERMOCANDELARIA_CC,.c4,682.597
TERMOCENTRO_CC,.c1,1934.432
TERMOCENTRO_CC,.c2,2202.671
TERMOCENTRO_CC,.c3,2596.176
TERMOCENTRO_CC,.c4,1958.638
TERMOCENTRO_CC,.c5,2595.975
TERMOEMCALI_CC,.c1,1486.455
TERMOEMCALI_CC,.c2,1486.455
TERMOSIERRA_CC,.c1,1801.706
TERMOSIERRA_CC,.c2,1801.706
TERMOSIERRA_CC,.c3,981.205
TERMOSIERRA_CC,.c4,948.251
TERMOSIERRA_CC,.c5,1151.446
TERMOVALLE_CC,.c1,1225.79
TERMOVALLE_CC,.c2,1184.535
TERMOVALLE_CC,.c3,1400.0
TERMOVALLE_CC,.c4,1500.0
