,fecha,tipo
0,2032-01-01,festivo
1,2032-01-04,domingo
2,2032-01-11,domingo
3,2032-01-12,festivo
4,2032-01-18,domingo
5,2032-01-25,domingo
6,2032-02-01,domingo
7,2032-02-08,domingo
8,2032-02-15,domingo
9,2032-02-22,domingo
10,2032-02-29,domingo
11,2032-03-07,domingo
12,2032-03-14,domingo
13,2032-03-21,domingo
14,2032-03-22,festivo
15,2032-03-25,festivo
16,2032-03-26,festivo
17,2032-03-28,domingo
18,2032-04-04,domingo
19,2032-04-11,domingo
20,2032-04-18,domingo
21,2032-04-25,domingo
22,2032-05-01,festivo
23,2032-05-02,domingo
24,2032-05-09,domingo
25,2032-05-10,festivo
26,2032-05-16,domingo
27,2032-05-23,domingo
28,2032-05-30,domingo
29,2032-05-31,festivo
30,2032-06-06,domingo
31,2032-06-07,festivo
32,2032-06-13,domingo
33,2032-06-20,domingo
34,2032-06-27,domingo
35,2032-07-04,domingo
36,2032-07-05,festivo
37,2032-07-11,domingo
38,2032-07-18,domingo
39,2032-07-20,festivo
40,2032-07-25,domingo
41,2032-08-01,domingo
42,2032-08-07,festivo
43,2032-08-08,domingo
44,2032-08-15,domingo
45,2032-08-16,festivo
46,2032-08-22,domingo
47,2032-08-29,domingo
48,2032-09-05,domingo
49,2032-09-12,domingo
50,2032-09-19,domingo
51,2032-09-26,domingo
52,2032-10-03,domingo
53,2032-10-10,domingo
54,2032-10-17,domingo
55,2032-10-18,festivo
56,2032-10-24,domingo
57,2032-10-31,domingo
58,2032-11-01,festivo
59,2032-11-07,domingo
60,2032-11-14,domingo
61,2032-11-15,festivo
62,2032-11-21,domingo
63,2032-11-28,domingo
64,2032-12-05,domingo
65,2032-12-08,festivo
66,2032-12-12,domingo
67,2032-12-19,domingo
68,2032-12-25,festivo
69,2032-12-26,domingo
70,2033-01-01,festivo
71,2033-01-02,domingo
72,2033-01-09,domingo
73,2033-01-10,festivo
74,2033-01-16,domingo
75,2033-01-23,domingo
76,2033-01-30,domingo
77,2033-02-06,domingo
78,2033-02-13,domingo
79,2033-02-20,domingo
80,2033-02-27,domingo
81,2033-03-06,domingo
82,2033-03-13,domingo
83,2033-03-20,domingo
84,2033-03-21,festivo
85,2033-03-27,domingo
86,2033-04-03,domingo
87,2033-04-10,domingo
88,2033-04-14,festivo
89,2033-04-15,festivo
90,2033-04-17,domingo
91,2033-04-24,domingo
92,2033-05-01,domingo y festivo
93,2033-05-08,domingo
94,2033-05-15,domingo
95,2033-05-22,domingo
96,2033-05-29,domingo
97,2033-05-30,festivo
98,2033-06-05,domingo
99,2033-06-12,domingo
100,2033-06-19,domingo
101,2033-06-20,festivo
102,2033-06-26,domingo
103,2033-06-27,festivo
104,2033-07-03,domingo
105,2033-07-04,festivo
106,2033-07-10,domingo
107,2033-07-17,domingo
108,2033-07-20,festivo
109,2033-07-24,domingo
110,2033-07-31,domingo
111,2033-08-07,domingo y festivo
112,2033-08-14,domingo
113,2033-08-15,festivo
114,2033-08-21,domingo
115,2033-08-28,domingo
116,2033-09-04,domingo
117,2033-09-11,domingo
118,2033-09-18,domingo
119,2033-09-25,domingo
120,2033-10-02,domingo
121,2033-10-09,domingo
122,2033-10-16,domingo
123,2033-10-17,festivo
124,2033-10-23,domingo
125,2033-10-30,domingo
126,2033-11-06,domingo
127,2033-11-07,festivo
128,2033-11-13,domingo
